message_id,from_id,message,date
16858,,Не раньше 26.06,2024-06-16 20:31:15+00:00
16857,PeerUser(user_id=587475324),листинг будет будут деньги)),2024-06-16 20:31:13+00:00
16856,,Неизвесно,2024-06-16 20:31:06+00:00
16855,PeerUser(user_id=587475324),"и вообще вы ж все равно не получите за бретт денег, ведь листинга не было)))",2024-06-16 20:30:42+00:00
16854,PeerUser(user_id=6138706084),Когда он будет в списке?,2024-06-16 20:30:08+00:00
16852,PeerUser(user_id=587475324),"если делали фаст то поступят ш как поступят))
а слоу ждете листинг а потом монета как я пон уже падает после",2024-06-16 20:29:04+00:00
16851,PeerUser(user_id=587475324),так вот ж почему ждем,2024-06-16 20:28:17+00:00
16849,,Потому что медленные выводы поступят после листинга,2024-06-16 20:27:47+00:00
16848,PeerUser(user_id=6138706084),Почему мой вывод не поступает уже 4 дня?,2024-06-16 20:26:36+00:00
16847,PeerUser(user_id=1770927887),спасибо,2024-06-16 20:21:43+00:00
16846,PeerUser(user_id=6400778699),@brett_support_bot ему пиши,2024-06-16 20:21:36+00:00
16845,PeerUser(user_id=1770927887),как отменить вывод?,2024-06-16 20:21:03+00:00
16844,,"Выводим только на TonKeeper, TonHub, MyTonWallet, Ton Space",2024-06-16 20:20:40+00:00
16843,PeerUser(user_id=1770927887),как отменить?,2024-06-16 20:20:20+00:00
16842,PeerUser(user_id=6400778699),да отмени и переставь,2024-06-16 20:20:10+00:00
16841,PeerUser(user_id=1770927887),"а если уже сделал вывод, я могу просто поменять у себя кошелек на тонкипер например? коины придут? или могу с делать возврат, если я выводил пару недель назад?",2024-06-16 20:19:19+00:00
16839,,На данный кошелек не выводим,2024-06-16 20:18:18+00:00
16838,PeerUser(user_id=1770927887),"я делал медленный вывод на кошелек metamask, коины придут после листинга?",2024-06-16 20:17:51+00:00
16837,PeerUser(user_id=6765844988),How to withdraw Brett?,2024-06-16 20:13:18+00:00
16836,PeerUser(user_id=1581182950),😫,2024-06-16 20:10:55+00:00
16834,PeerUser(user_id=6662694405),Hyy,2024-06-16 20:08:53+00:00
16833,PeerUser(user_id=6273359538),"Did you have spinner bot if you don't
Come pv pls❤️",2024-06-16 20:05:51+00:00
16832,,Полностью запрещены,2024-06-16 20:00:51+00:00
16831,PeerUser(user_id=1581182950),твинки разрешены?,2024-06-16 19:56:14+00:00
16830,,"Доброй ночи, сегодня делали обновление (связанное с майнингом) так что быстрые выводы не обновлялись и чат был закрыт. Ваши быстрые выводы будут одобрены ближе к утру.",2024-06-16 19:52:30+00:00
16829,PeerUser(user_id=1926921244),,2024-06-16 16:49:50+00:00
16827,PeerUser(user_id=6006484316),"Даже так, спасибо",2024-06-15 20:25:39+00:00
16826,PeerUser(user_id=6006484316),Ааа,2024-06-15 20:25:08+00:00
16825,,Вы их до листинга даже продать не можете,2024-06-15 20:24:54+00:00
16822,PeerUser(user_id=6006484316),"Странно, я поставил вчера в 21:23, просто мне нужно в другого бота денег закинуть, и я подумал может что-то не так, ещё раз простите",2024-06-15 20:24:21+00:00
16821,,все уведомления можете смотреть в чате,2024-06-15 20:23:43+00:00
16820,,Уже было одобрено более 1000 выводов,2024-06-15 20:23:35+00:00
16818,,Даже сутки не прошли с первого поставленного вывода,2024-06-15 20:22:52+00:00
16816,PeerUser(user_id=463580717),Долго чёт,2024-06-15 20:19:26+00:00
16815,PeerUser(user_id=6006484316),"Извините за навязчивость,но когда подтвердят вывод? Уже больше суток прошло, если есть какая-то проблема, то сообщите пожалуйста",2024-06-15 20:17:00+00:00
16812,PeerUser(user_id=5082882946),Спасибо +400,2024-06-15 19:37:03+00:00
16811,PeerUser(user_id=5789582849),спасибо,2024-06-15 19:36:35+00:00
16810,,"🚀 Airdrop cheque for 12000 $BRETT


Inside cheque: 30 activation(s) for 400 $BRETT",2024-06-15 19:36:26+00:00
16809,,Для всех разрешен кроме вас,2024-06-15 19:35:28+00:00
16808,PeerUser(user_id=5789582849),аххааххахаха гений,2024-06-15 19:35:25+00:00
16807,,Вы у нас особенный,2024-06-15 19:35:23+00:00
16806,PeerUser(user_id=955418596),В смысле? А что такого я сделал?,2024-06-15 19:35:16+00:00
16805,,Лично для вас вывод запрещен,2024-06-15 19:34:48+00:00
16804,,Нет не можете,2024-06-15 19:34:42+00:00
16803,PeerUser(user_id=955418596),"Зачем удалять сообщение? Я просто спросил, могу ли я вывести сейчас Brett?",2024-06-15 19:34:23+00:00
16801,PeerUser(user_id=587475324),от души),2024-06-15 19:30:09+00:00
16800,,До завтра,2024-06-15 19:29:57+00:00
16799,PeerUser(user_id=587475324),"как я понял если вчера делал вывод (фаст оплативши 0.08тон) в 2 часа дня
это он сегодня должен прийти?  просто уже 10 вечера, уже начинаю думать о том что упустил букву коша)",2024-06-15 19:29:22+00:00
16796,,Выводы от 10000 $BRETT,2024-06-15 19:27:46+00:00
16793,PeerUser(user_id=5078818703),"Когда я получил свой вывод, я сделал вывод примерно на 1100",2024-06-15 19:21:56+00:00
16788,PeerUser(user_id=7085774905),"Всё пришли, спасибо)",2024-06-15 19:14:50+00:00
16787,,Нажмите Check и они зачислятся на ваш баланс,2024-06-15 19:13:34+00:00
16786,PeerUser(user_id=7085774905),Конечно),2024-06-15 19:13:27+00:00
16785,,Вы пополняли с комментарием?,2024-06-15 19:12:59+00:00
16784,PeerUser(user_id=7085774905),"Приветствую, подскажите, через сколько должны прийти тоны в бота?",2024-06-15 19:12:45+00:00
